column row elev pH Ca
9 8 580.25 5.7 3.4
9 9 580.202 5.7 2.8
9 10 580.171 5.4 2.5
9 11 580.178 5.5 2.8
9 12 580.205 5.4 2.8
9 13 580.226 5.4 2.7
9 14 580.228 5.4 2.7
9 15 580.17 5.5 2.7
9 16 580.18 5.6 2.7
9 17 580.175 5.6 3.1
9 18 580.158 5.6 3.2
9 19 580.128 5.6 3.1
9 20 580.328 5.6 3
9 21 580.125 5.5 3
9 22 580.15 5.6 3.1
9 23 580.158 5.6 3.4
9 24 580.169 5.6 3.2
9 25 580.098 5.6 3.2
10 1 580.102 5.5 2.5
10 2 580.16 5.7 2.7
10 3 580.249 5.8 2.8
10 4 580.318 5.8 2.7
10 5 580.35 5.7 3.1
10 6 580.34 5.7 2.9
10 7 580.31 5.7 3.2
10 8 580.279 5.7 3.6
10 9 580.218 5.4 3
10 10 580.061 5.5 2.8
10 11 580.231 5.4 3
10 12 580.231 5.4 2.7
10 13 580.23 5.4 2.7
10 14 580.205 5.4 2.7
10 15 580.169 5.5 2.7
10 16 580.165 5.4 2.7
10 17 580.176 5.4 2.8
10 18 580.191 5.4 2.9
10 19 580.165 5.5 3
10 20 580.138 5.6 3.1
10 21 580.129 5.8 3.2
10 22 580.131 5.8 3.4
10 23 580.12 5.9 3.8
10 24 580.098 5.8 3.5
10 25 580.036 5.7 3.2
